,ID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Product_Name,Date,Rating_Score,Reviews,Link,Product_ID
10,10,0.01,0.775,0.214,0.9863,0.015137244015932083,0.09695460647344589,0.8879081606864929,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-05,4.0,"
I was pleasantly surprised that this tasted as well as it does. Ingredients are pretty simple, and it contains a high DV of vitamins. I've been having these as a hot drink with hot water, and its like drinking hot cocoa. Its not as sweet or rich as regular hot cocoa, but its pretty close in my opinion. It does have that diet/alternative sugar taste, but it subtle to me so I don't notice it as much.This has been a nice to drink in the cold winter days especially in the morning. I tried putting it in my coffee but it doesn't seem to taste great with the blend I have. Maybe when the weather gets warmer I can try to to use these in smoothies. Overall, I've enjoyed these chocolate drinks and would recommend it for those looking for a healthier option!!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
11,11,0.031,0.643,0.326,0.9849,0.031849756836891174,0.15360623598098755,0.8145439624786377,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-05,4.0,"
Actually tastes pretty good. There is a strong salty flavor, but the chocolate pairs well with it. Still, 250mg of sodium isn't terribly much for an ""electrolyte"" drink. I don't care for the smell of powder, but once mixed it is fine. It dissolves fairly easily and individual sachets make it easy to take a few with you when traveling. At a dollar per packet I don't think these are a great value, for example a chocolate protein powder would be a much better value.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
12,12,0.066,0.719,0.215,0.9712,0.006036801263689995,0.14454595744609833,0.8494172692298889,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-01-31,4.0,"
These little packets, about a dollar each, claim to contain only 2.5g of sugar, packed with rehydrating electrolytes, essentially aimed at the fatigue relief and morning-after-the-party market segment. Suggesting it might replace an IV treatment to recharge the body with accelerated hydration might well be true, but we have no imperial evidence of such.The potassium, sodium, Vitamin C and magnesium and low sugar are certainly a good recipe for a morning lift -- an energizing boost to start the day -- and the chocolate flavor makes it all go down with ease.We keep them in our travel case for general jet lag symptoms and energy boost on long trips. It's good to have a few along in case of a touch of the hangover syndrome.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
13,13,0.027,0.936,0.037,0.32,0.023693380877375603,0.22663313150405884,0.7496734857559204,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-02,4.0,"
Sports fanatics in my household are on keto/fat burning/low carb exercise regimen, therefore we sampled this HydroMate Electrolyte-Enhanced Drink Mix.What works:Low carbs: 3g per serving.Low calories: 10 per serving, for those trying to burn fat.Each bag contains 16 (5.7g) sticks/servings for convenience.Chocolate/cocoa flavor tastes alright.Dissolves readily in Cold or Hot water.  Option to mix/shake with milk for thicker and creamier taste.Contains a good assortment of Vitamins, minerals, and salts (Sodium and Potassium) for hydration.No added caffeine for those of us sensitive to it.We all felt hydrated without muscle cramps during our training sessions.What may not work:This hydration mix only works well for our low intensity/aerobic exercise sessions of 45 minutes or less because it doesn't contain any significant calories (10) from carbs, fats, or proteins to fuel longer, higher intensity training/workouts.  YMMV
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
14,14,0.118,0.811,0.072,-0.5812,0.2904924750328064,0.49615174531936646,0.21335574984550476,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-01-31,4.0,"
I’m unsure exactly how I feel about this electrolyte drink mix. They come in 30 individual packets which is nice and convenient. The package says to mix with 8-16 ounces of water, so I chose 8 because that’s a big gap. It does taste like chocolate, a little weak, but chocolate nonetheless. It’s kind of odd because when I taste chocolate I expect a level of “creaminess” and since this is to be mixed with water it’s not there lol. Overall it’s not bad, but I’m still unsure about how I feel.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
15,15,0.0,0.814,0.186,0.6908,0.0018345395801588893,0.04251929372549057,0.9556462168693542,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-08,4.0,"
This chocolate flavored electrolyte drink reminds me of those type drinks in the yellow container. Everyone in my family likes it. Easy to  carry for travel too
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
16,16,0.054,0.67,0.276,0.8221,0.0011768961558118463,0.013952584005892277,0.9848704934120178,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-06,4.0,"
These NatureWorks HydroMATE Electrolytes Powder Drink Mix Packets work well and taste good. They are low in carbs and calories which I really like. They are a good pick me up.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
17,17,0.053,0.815,0.132,0.8126,0.0716991201043129,0.24555256962776184,0.6827482581138611,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-03,4.0,"
I love the idea of using chocolate (instead of citrus or berry) as flavor for salt-based recovery products like electrolytes and BHB ketones. Chocolate complements the salt and masks the bitterness well.This powder is one of the tastier electrolyte drinks. No question about that. The ingredients are also well-considered. The one thing I wish were different is the sucralose. Sucralose, ace-k, sugar alcohols, and aspartame all can cause issues for people with allergies or diabetes or other sensitivities. There are better choices.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
18,18,0.07,0.773,0.157,0.9729,0.09051825851202011,0.4398792088031769,0.4696025550365448,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-02,5.0,"
I don't normally think of ""chocolate"" when I'm thirsty or after a work out when I'm wanting something to hydrate.  But surprisingly, this works for me.I'm also not used to chocolate products that can be mixed with cold water.  But I mixed this with ice water and the product completely mixed with a little agitation.The packets are easy to open, but not so easy that there is a risk of opening by accident.The flavor is a little sweet, a little chocolatey... but not like chocolate milk.The description talks about a boost of energy.  But there isn't much sugar.  I don't see anything to indicate that it has caffeine (an artificial boost), or any other ingredient that would explain the energy boost.  But I can confirm that after my workout, I felt a little sluggish until I drank my HydroMATE drink.  That is to say... I did feel that I got a boost of energy.This is certainly travel friendly.  Weather you're traveling on a plane where you're only allowed to carry powders... or if you're just traveling to the gym.  Since this is an individual serving packet, you also don't have to measure and be concerned about making a mess.  The packets easily empty into a ""normal"" water bottle, so you don't even need a wide mouth.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
19,19,0.043,0.733,0.224,0.981,0.023213857784867287,0.18670885264873505,0.7900773286819458,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-14,5.0,"
The flavor is definitely chocolate and does taste good.  But for me I had a after taste, not bad after taste but there was one.  But after taking this to the gym and work I really didn't have the after taste anymore or I just got use to it.  Value for the money is ok at about $1.50 a drink it isn't that bad. (I've had better priced ones but not that great on flavor.)  I do wish it gave some protein with the drink, I'm not sure if it has any protein content but it would be nice to have some after working out.  I believe I would get this again because my kids like it and it is a good change from heavy sugar drinks out there.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,B0BRT77ZK8
20,20,0.034,0.776,0.19,0.9909,0.025172097608447075,0.12223495543003082,0.852592945098877,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-03,5.0,"
I ordered these hydration packs despite my aversion to any hydration that isn't lemon/lime. I once ordered an apple cinnamon one and regretted it my whole hike. It was great at home but not much as thirst-quenching hydration. I was expecting this to taste like watered-down Yoohoo.You get the potassium chloride and all the other elements and vitamins you get with your sports drink, but this is an excellent way to start your morning. I tried it hot in coconut and almond milk, and in my coffee as a mocha with some cinnamon. I have dehydration from gut issues, so I get dehydrated after my third cup of coffee in the morning. This is an excellent addition to kick off your morning. The flavor is chocolatey and delicious without being overly sweet. And thanks to it being keto-friendly, I don't spike my sugar as I do with high-glucose sports drinks.You aren't going to fill your hydration pack with it for hiking, but a thermos of this hot chocolate for a hiking break is outstanding. A delicious treat that replaces essential elements lost while being active. My boyfriend has already mowed through 10 packets in 4 days!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
21,21,0.047,0.864,0.089,0.7447,0.25626340508461,0.4108774960041046,0.3328590989112854,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-02,3.0,"
I hate drinking plain water, so I am always on the hunt for things to add to my water bottle that will help me stay hydrated. I was a little skeptical about the chocolate flavor, but its not that bad. It is a bit weird with water; it kind of tastes like if you had a Yoohoo with ice, drank all the Yoohoo, let the ice melt a bit, and drank that. Just really watered down Yoohoo. Apparently you can make it hot or even add it to milk, so that might be tasty. I guess if you're really craving chocolate and this is the only way to get it, its clutch. Otherwise, it's just okay.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
22,22,0.0,0.662,0.338,0.9836,0.2636522948741913,0.40178969502449036,0.33455801010131836,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-02,3.0,"
Overall this product is fine. The taste is ok - saw others say it tastes like chocolate milk… I don’t think I’d go that far. It’s chocolatey but in a bland watery way. It’s also super super sweet which I don’t love in hydration products. I’ll use up the product but don’t think I’ll order again as there are better tasting hydration products out there.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
23,23,0.022,0.724,0.254,0.9926,0.0025286932941526175,0.013127598911523819,0.9843437671661377,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-05,5.0,"
When I first came across this product I though 'what? That's weird'. But I do love chocolate and, as a competitive triathlete, I use hydration mixes frequently. I figured I needed to at least try it. Turns out this hydration mix is really good! I was surprised. It has a subtle, sweet chocolate flavor. It's a lot different in terms of flavor than any other hydration mix I've tried. The other cool thing about this hydration mix is that you can make hot chocolate with it! It's great for staying hydrated when it's cold, or after a long run in cold weather (also, it's very good when you make it with warm milk/milk substitute). I like that it contains electrolytes as well as zinc and some B vitamins. If you are bored of all the fruity hydration mix flavors, and you like chocolate, I would recommend this product.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
24,24,0.034,0.855,0.111,0.8674,0.23786213994026184,0.3863047957420349,0.37583306431770325,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-13,5.0,"
These have made a big impact with my water intake. Normally I drink about 100 Oz of water a day, but when I drink that much water, I have to go to the restroom about every 30 min to an hour. This can be very frustrating, especially when at work. I notice that if I add this to my daily protein drinks, I definitely don’t go to the restroom as much. I really like how few calories it has. As far as taste goes, I add this to my protein drink that already tastes like chocolate so I can’t really speak to that. I would definitely reorder these 👍🏻
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
25,25,0.0,0.799,0.201,0.9366,0.003059493377804756,0.026902714744210243,0.9700377583503723,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-19,5.0,"
Review for: NatureWorks HydroMATE Electrolytes Powder Drink MixGood tasting powder drink mix that is good for you.  Only 10 calories and 2.5 grams of sugar per serving.  I was a little apprehensive of a 'chocolate flavored' energy drink, but I was surprised by the taste, and they are good for you.  I did mix up a batch with milk, and it tasted even better - going to share with the kids
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
26,26,0.0,0.783,0.217,0.8925,0.00673651322722435,0.04870571196079254,0.944557785987854,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-20,5.0,"
My toddler loves to drink whatever I'm drinking so he can feel all grown up; but this takes it to another level.  Overall it tastes like we are having chocolate milk, but without all the guilt that sometimes comes with that.  Definitely would be getting again!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
27,27,0.0,0.804,0.196,0.9776,0.004664869513362646,0.042152296751737595,0.9531828761100769,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-04,5.0,"
I took the packaging's advice and mixed this with milk, and found it was a surprisingly tasty and effective pick-me-up during a cardio workout. Tasted like salty chocolate milk, which (like chocolate bars with sea salt) is actually quite delicious. Did not expect an electrolyte drink with just sodium and chloride to elevate me this much, but it did. Drinking it after pouring sweat for a bit gave me a noticeable boost I wasn't getting from a regular beverage. There are more sophisticated electrolyte mixes on the market, but this one worked very well for me.EDIT: Dunno why I thought this was just sodium and chloride. Significantly, there is also potassium, magnesium, and a number of B Vitamins. This IS a fairly sophisticated electrolyte drink.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
28,28,0.0,0.856,0.144,0.9346,0.004495047964155674,0.026789268478751183,0.9687156677246094,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-09,5.0,"
I cannot imagine drinking this cold, but as a hydration and electrolyte supplement to my coffee pre-workout this actually tastes very good! The salt is a kick like the salted caramel coffee drinks one can get at a coffee shop, and if you are sensitive to the aftertaste of sugar-substitutes you'll still taste it. But it isn't overpowering as it can be in other electrolyte packets.Very happy I came across this product and looking forward to using it often in training!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
29,29,0.047,0.609,0.344,0.9921,0.002226789016276598,0.005856831558048725,0.9919163584709167,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-04,5.0,"
These taste delicious! They don't smell so good, but it mixes well and quickly. They are perfect to just poor into a water bottle, shake, and drink. They taste so good, you wouldn't know they were good for you in any way. It resembles yoo-hoo or chocolate milk. I've only drank it cold, but I'm sure it would taste good heated up. I absolutely love this drink mix and so does my daughter. This is the best hydrating drink I've ever had and so glad I learned it exists so we can get more.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,B0BRT77ZK8
30,30,0.021,0.797,0.183,0.9115,0.06344334781169891,0.45167121291160583,0.48488548398017883,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-13,5.0,"
Simple to mix and tastes like chocolate a chocolate flavored sports dink. If you have had any sort of sport drink it has a very similar taste and after taste to those. I'm not sure how I feel about it hot but it does taste good cold. Taste more like watered down chocolate milk which isn't a bad thing in this case.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,B0BRT77ZK8
31,31,0.061,0.757,0.181,0.8502,0.002501771552488208,0.034295082092285156,0.9632030725479126,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-07,5.0,"
Use with hot water or milk, and it tastes very much like hot chocolate. I add the packets to hot water with my collagen, and it is the perfect combo. Very easy and convenient to throw them in your bag since they are individual servings. Low sugar, and doesn't taste like you are drinking salt water. Would recommend!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,B0BRT77ZK8
32,32,0.0,0.812,0.188,0.9009,0.0015258851926773787,0.018009182065725327,0.9804649353027344,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-13,5.0,"
My son is a wrestler and these are perfect for him. He takes them to practice and adds it to water. He thinks they taste like cold hot chocolate. He has mixed them with milk and made them hot as well and he says its so good. He has even asked me to get them again.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,B0BRT77ZK8
33,33,0.0,0.779,0.221,0.9565,0.00097730103880167,0.010133071802556515,0.9888895750045776,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-05,5.0,"
I've tried HydroMate mixes before and they are great for feeling hydrated and replenished after an intense workout. I was really excited to try this mix because it says you can mix it with hot water and make hot chocolate with it. I used my keurig to brew 10 oz of hot water and I stirred in one packet of this afterwards. It mixes well and I love drinking it after a nighttime workout to warm up, relax and feel refreshed.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,B0BRT77ZK8
34,34,0.0,0.675,0.325,0.8481,0.0011851144954562187,0.02129485458135605,0.9775200486183167,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-13,5.0,"
This chocolate powder tastes great. I use it in my morning coffee. Also tastes great in water or milk
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,B0BRT77ZK8
